BIN,Country,Flag,Brand,Type,Level,Bank
411111,USA,🇺🇸,Visa,Credit,Standard,Example Bank USA
550000,USA,🇺🇸,MasterCard,Credit,Standard,Another Bank USA
340000,USA,🇺🇸,American Express,Credit,Standard,Amex Bank USA
601100,USA,🇺🇸,Discover,Credit,Standard,Discover Bank
400000,Canada,🇨🇦,Visa,Credit,Standard,Example Bank Canada
550000,Canada,🇨🇦,MasterCard,Credit,Standard,Another Bank Canada
400000,UK,🇬🇧,Visa,Credit,Standard,Example Bank UK
550000,UK,🇬🇧,MasterCard,Credit,Standard,Another Bank UK
400000,Australia,🇦🇺,Visa,Credit,Standard,Example Bank Australia
550000,Australia,🇦🇺,MasterCard,Credit,Standard,Another Bank Australia
400000,Germany,🇩🇪,Visa,Credit,Standard,Example Bank Germany
550000,Germany,🇩🇪,MasterCard,Credit,Standard,Another Bank Germany
BIN,Country,Flag,Brand,Type,Level,Bank
411111,United States,🇺🇸,Visa,Credit,Standard,Chase Bank
550000,United Kingdom,🇬🇧,MasterCard,Credit,Gold,Barclays
340000,France,🇫🇷,American Express,Credit,Platinum,BNP Paribas
601100,Canada,🇨🇦,Discover,Credit,Standard,TD Canada Trust
453201,Germany,🇩🇪,Visa,Debit,Standard,Deutsche Bank
510510,Australia,🇦🇺,MasterCard,Credit,Gold,Commonwealth Bank
